0,1,2,3,4,5,6,7,8,9,10,11
2020 Attendance,2020 Attendance,Home,Home,Home,Home,Road,Road,Road,Overall,Overall,Overall
RK,TEAM,GMS,TOTAL,AVG,PCT,GMS,AVG,PCT,GMS,AVG,PCT
1,76ers,35,639491,20628,--,38,17706,3246.3,73,19122,6799.0
2,Mavericks,38,682096,20061,--,37,18249,--,75,19169,--
3,Raptors,36,633456,19795,--,36,17789,3162.5,72,18792,6681.7
4,Heat,36,629771,19680,--,37,18127,3323.3,73,18891,6822.1
5,Trail Blazers,36,608634,19633,--,38,17941,1694.5,74,18748,3385.1
6,Nuggets,37,633153,19186,--,36,17163,3051.2,73,18190,6568.7
7,Celtics,36,610864,19089,--,36,18409,3272.7,72,18749,6666.4
8,Clippers,36,610176,19068,105.9,36,17855,--,72,18461,205.1
9,Lakers,35,588907,18997,--,36,18877,1678.0,71,18936,3313.8
10,NY Knicks,33,620789,18811,--,33,17767,3257.4,66,18289,6706.2
11,Bulls,34,639352,18804,--,31,17767,--,65,18310,--
12,Spurs,34,550515,18350,--,37,17588,1612.3,71,17951,3141.5
13,Thunder,37,600699,18203,--,35,17855,3075.1,72,18034,6412.3
14,Rockets,36,578458,18076,--,36,18072,1606.4,72,18074,3213.3
15,Warriors,34,614176,18064,--,31,17454,3006.0,65,17773,6418.1
16,Cavaliers,36,623576,17816,--,29,18254,2941.0,65,18014,6405.3
17,Bucks,35,549036,17710,--,38,17892,3379.7,73,17805,6429.9
18,Magic,35,529870,17092,--,38,17243,3257.1,73,17171,6200.8
19,Wizards,36,532702,16646,--,36,17587,3126.7,72,17117,6086.2
20,Pacers,36,529002,16531,--,37,17297,--,73,16914,--
21,Pelicans,36,528172,16505,--,36,18234,3241.7,72,17369,6176.0
22,Nets,36,524907,16403,--,36,17910,--,72,17157,--
23,Hawks,34,545453,16042,--,33,17786,3260.9,67,16901,6291.2
24,Grizzlies,37,523297,15857,--,36,17508,1556.3,73,16670,3009.9
25,Suns,39,550633,15732,--,34,17660,2943.4,73,16622,6002.5
26,Pistons,33,509463,15438,--,33,17641,3234.2,66,16539,6064.6
,Hornets,31,478591,15438,--,34,17564,3317.7,65,16550,5976.6
28,Timberwolves,32,482112,15066,--,32,17463,3104.6,64,16264,5783.0
29,Kings,35,520663,0,--,37,0,--,72,0,--
,Jazz,35,567486,0,--,37,0,--,72,0,--
,Leb,0,0,0,--,1,0,--,0,0,--
,World,0,0,0,--,1,0,--,0,0,--
,Usa,1,0,0,--,0,0,--,0,0,--
,Gia,1,17808,0,--,0,0,--,0,0,--
