0,1,2,3,4,5,6,7,8,9,10,11
2024 Attendance,2024 Attendance,Home,Home,Home,Home,Road,Road,Road,Overall,Overall,Overall
RK,TEAM,GMS,TOTAL,AVG,PCT,GMS,AVG,PCT,GMS,AVG,PCT
1,Bulls,41,845620,20624,--,41,18379,4186.3,82,19501,8884.2
2,Mavericks,41,828897,20217,--,41,18299,4168.3,82,19258,8773.3
3,76ers,41,821714,20041,--,41,18395,4190.1,82,19218,8755.2
4,Heat,41,809743,19749,--,41,18392,4189.3,82,19071,8687.9
5,NY Knicks,41,808885,19728,--,41,18620,4241.2,82,19174,8735.1
6,Nuggets,41,807062,19684,--,41,18211,1382.7,82,18948,2877.3
7,Raptors,41,800129,19515,--,41,17993,4098.6,82,18754,8543.7
8,Cavaliers,41,793167,19345,--,41,18378,4186.3,82,18862,8592.7
9,Celtics,41,785396,19156,--,41,18743,4269.2,82,18949,8632.6
10,Clippers,41,776782,18945,105.3,41,18431,--,82,18688,207.7
11,Lakers,42,793945,18903,--,40,18673,2074.8,82,18791,4280.2
12,Magic,41,773939,18876,--,41,18105,4124.1,82,18491,8423.7
13,Trail Blazers,41,751395,18326,--,41,17987,2048.5,82,18156,4135.8
14,Jazz,41,746446,18206,--,41,17986,2048.5,82,18096,4121.9
15,Pistons,40,726378,18159,--,42,18316,4274.0,82,18240,8309.4
16,Spurs,41,742522,18110,--,41,18386,4188.0,82,18248,8313.1
17,Warriors,41,740624,18064,--,41,18720,2132.0,82,18392,4189.3
18,Timberwolves,41,738984,18024,--,41,18185,2071.1,82,18104,4123.9
19,Kings,41,735015,17927,--,41,17921,2041.1,82,17924,4082.8
20,Bucks,42,740885,17640,--,40,18664,4147.6,82,18139,8263.6
21,Nets,41,720291,17568,--,41,18156,4135.7,82,17862,8137.4
22,Rockets,41,720045,17562,--,41,18170,2069.4,82,17866,4069.6
23,Thunder,41,715509,17451,--,41,18404,4192.1,82,17927,8167.2
24,Pelicans,40,692054,17301,--,42,18193,2122.5,82,17758,4044.9
25,Suns,41,699911,17071,--,41,18582,2116.3,82,17826,4060.5
26,Hawks,41,696418,16985,--,41,18416,4194.9,82,17701,8063.9
27,Wizards,41,692851,16898,--,41,18190,4143.4,82,17544,7992.5
28,Grizzlies,41,681875,16631,--,41,18182,2070.8,82,17406,3964.9
29,Pacers,41,677554,16525,--,41,18380,4186.7,82,17453,7950.8
30,Hornets,41,674400,16448,--,41,18268,4161.2,82,17358,7907.8
31,East,1,17251,0,--,0,0,--,0,0,--
,West,0,0,0,--,1,0,--,0,0,--
