0,1,2,3,4,5,6,7,8,9,10,11
2023 Attendance,2023 Attendance,Home,Home,Home,Home,Road,Road,Road,Overall,Overall,Overall
RK,TEAM,GMS,TOTAL,AVG,PCT,GMS,AVG,PCT,GMS,AVG,PCT
1,Bulls,41,841632,20527,--,41,18243,4155.5,82,19385,8831.3
2,76ers,41,839261,20469,--,41,17910,4079.7,82,19190,8742.3
3,Mavericks,41,827282,20177,--,41,18138,2065.8,82,19158,4363.8
4,Raptors,41,811261,19786,--,41,17755,4044.4,82,18771,8551.4
5,Heat,41,807190,19687,--,41,18369,4184.1,82,19028,8668.4
6,Cavaliers,41,777280,19432,--,41,18093,4121.2,82,18754,8439.5
7,NY Knicks,41,795110,19392,--,41,18467,4206.5,82,18930,8623.8
8,Nuggets,41,788635,19235,--,41,17628,2007.6,82,18431,4198.3
9,Celtics,41,766240,19156,--,41,18830,4289.3,82,18991,8546.1
10,Trail Blazers,41,767374,18716,--,41,17786,3952.6,82,18257,8215.8
11,Lakers,41,763168,18613,--,41,18777,2138.5,82,18695,4258.5
12,Pistons,41,759715,18529,--,41,17866,4069.5,82,18197,8290.1
13,Jazz,41,728240,18206,--,41,17881,2036.5,82,18041,4059.4
14,Warriors,41,740624,18064,--,41,19772,2196.9,82,18907,4254.2
15,Magic,41,728405,17765,--,41,18013,4003.0,82,17888,8049.7
16,Nets,41,724439,17669,--,41,18312,4171.1,82,17990,8195.8
17,Clippers,41,720543,17574,97.6,41,17625,--,82,17599,195.6
18,Hawks,41,719787,17555,--,41,18053,4112.1,82,17804,8110.9
19,Bucks,41,718786,17531,--,41,18296,4167.4,82,17913,8160.7
20,Kings,41,715491,17451,--,41,17534,1996.9,82,17492,3984.4
21,Wizards,41,710481,17328,--,41,17753,4043.9,82,17541,7991.0
22,Grizzlies,41,707836,17264,--,41,18162,4137.0,82,17713,8069.5
23,Hornets,41,702052,17123,--,41,18032,4107.5,82,17578,8007.8
24,Suns,41,682840,17071,--,41,18294,2083.5,82,17690,3980.3
25,Spurs,41,694434,16937,--,41,17649,2010.1,82,17293,3939.1
26,Pelicans,41,687691,16772,--,41,18021,2052.5,82,17397,3962.7
27,Timberwolves,41,687510,16768,--,41,17499,1993.0,82,17133,3902.7
28,Rockets,41,668865,16313,--,41,17677,2013.3,82,16995,3871.2
29,Pacers,41,641562,15647,--,41,17900,4077.4,82,16774,7641.7
30,Thunder,41,636903,15534,--,41,17948,1994.3,82,16726,3763.4
31,Leb,1,17886,0,--,0,0,--,0,0,--
,Gia,0,0,0,--,1,0,--,0,0,--
