0,1,2,3,4,5,6,7,8,9,10,11
2019 Attendance,2019 Attendance,Home,Home,Home,Home,Road,Road,Road,Overall,Overall,Overall
RK,TEAM,GMS,TOTAL,AVG,PCT,GMS,AVG,PCT,GMS,AVG,PCT
1,76ers,41,838092,20441,--,41,17895,4076.1,82,19168,8732.2
2,Bulls,41,823475,20084,--,41,17822,4059.5,82,18953,8634.4
3,Mavericks,41,820569,20013,--,41,18073,2058.4,82,19043,4337.8
4,Raptors,41,812822,19824,--,41,18239,4154.7,82,19032,8670.3
5,Heat,41,805264,19640,--,41,18176,4140.1,82,18908,8613.8
6,Warriors,41,803436,19596,--,41,18790,2140.0,82,19193,4371.8
7,Trail Blazers,41,799345,19496,--,41,17992,1999.2,82,18753,4219.6
8,Cavaliers,41,793337,19349,--,41,17632,4016.2,82,18490,8423.7
9,NY Knicks,41,779087,19002,--,41,17566,4001.3,82,18284,8329.5
10,Lakers,41,778877,18997,--,41,18862,2148.2,82,18929,4311.8
11,Celtics,41,763584,18624,--,41,18671,4253.0,82,18647,8495.1
12,Nuggets,41,756457,18450,--,41,17474,1990.2,82,17962,4091.5
13,Spurs,41,750616,18307,--,41,17381,1979.6,82,17844,4064.6
14,Jazz,41,750546,18306,--,41,17517,1995.0,82,17911,4079.9
15,Thunder,41,746323,18203,--,41,17866,2034.8,82,18034,4107.9
16,Rockets,41,740392,18058,--,41,17921,2041.0,82,17989,4097.7
17,Bucks,41,721692,17602,--,41,18185,4142.3,82,17893,8151.7
18,Magic,41,720024,17561,--,41,17659,4022.5,82,17610,8022.6
19,Wizards,41,716996,17487,--,41,17509,3988.3,82,17498,7971.6
20,Clippers,41,710327,17325,96.3,41,17233,--,82,17279,192.0
21,Kings,41,700975,17096,--,41,17199,1958.8,82,17148,3905.9
22,Pacers,41,689310,16812,--,41,17957,3990.5,82,17377,7820.0
23,Hornets,41,676570,16501,--,41,17648,4019.8,82,17074,7778.6
24,Pistons,41,675963,16486,--,41,17819,4058.8,82,17153,7814.1
25,Pelicans,41,656183,16004,--,41,17667,4024.2,82,16835,7669.7
26,Grizzlies,41,607564,15578,--,41,17579,2002.1,82,16604,3689.8
27,Hawks,41,628440,15327,--,41,17786,4051.3,82,16557,7542.7
28,Timberwolves,41,627543,15305,--,41,17641,4018.4,82,16473,7504.7
29,Suns,41,627023,15293,--,41,17982,2048.1,82,16638,3789.8
30,Nets,41,612597,14941,--,41,18085,4119.5,82,16513,7522.8
31,Leb,0,0,0,--,1,0,--,0,0,--
,World,0,0,0,--,1,0,--,0,0,--
,Usa,1,0,0,--,0,0,--,0,0,--
,Gia,1,0,0,--,0,0,--,0,0,--
