0,1,2,3,4,5,6,7,8,9,10,11
2022 Attendance,2022 Attendance,Home,Home,Home,Home,Road,Road,Road,Overall,Overall,Overall
RK,TEAM,GMS,TOTAL,AVG,PCT,GMS,AVG,PCT,GMS,AVG,PCT
1,Bulls,41,856148,20881,--,41,18198,4044.2,82,19556,8800.6
2,76ers,41,846867,20655,--,41,16589,3778.8,82,18622,8483.6
3,Mavericks,41,809315,19739,--,41,17092,1946.6,82,18415,4194.7
4,Heat,41,804761,19628,--,41,17294,3843.3,82,18476,8314.2
5,Celtics,41,766240,19156,--,41,17583,4005.2,82,18360,8262.1
6,Raptors,41,547343,18873,--,41,17233,3925.4,82,17913,6966.2
7,Lakers,41,764631,18649,--,41,18179,2070.5,82,18414,4194.5
8,NY Knicks,41,763484,18621,--,41,17722,3938.4,82,18177,8180.0
9,Cavaliers,41,758228,18493,--,41,17134,3902.9,82,17813,8115.2
10,Jazz,41,750546,18306,--,41,16898,3755.2,82,17610,7924.9
11,Warriors,41,740624,18064,--,41,18111,2012.4,82,18087,4069.7
12,Bucks,41,715581,17453,--,41,17656,4021.8,82,17555,7997.3
13,Nets,41,711539,17354,--,41,17456,3976.3,82,17405,7929.3
14,Trail Blazers,41,705608,17209,--,41,16559,1840.0,82,16888,3800.0
15,Hornets,41,700755,17091,--,41,17503,3889.6,82,17294,7782.7
16,Nuggets,41,695262,16957,--,41,16864,1873.9,82,16911,3805.2
17,Clippers,41,694005,16926,94.0,41,16910,--,82,16918,185.7
18,Suns,41,679252,16567,--,41,17403,1933.7,82,16979,3820.5
19,Hawks,41,672742,16408,--,41,17073,3794.1,82,16736,7531.5
20,Pistons,41,663556,16184,--,41,16752,3815.9,82,16468,7502.4
21,Timberwolves,41,657148,16028,--,41,16811,1914.7,82,16419,3740.1
22,Grizzlies,41,646785,15775,--,41,17740,2020.4,82,16757,3817.1
23,Rockets,41,638977,15584,--,41,16655,3793.7,82,16120,7343.6
24,Wizards,41,637215,15541,--,41,16939,3764.3,82,16231,7304.4
25,Pelicans,41,635941,15510,--,41,16727,1812.1,82,16103,3578.6
26,Magic,41,622881,15192,--,41,17062,3886.5,82,16127,7347.0
27,Spurs,41,615588,15014,--,41,16939,1882.2,82,15965,3592.2
28,Thunder,41,595112,14877,--,41,16638,1894.9,82,15768,3548.0
29,Kings,41,577583,14439,--,41,16598,1890.4,82,15532,3494.8
30,Pacers,41,588743,14359,--,41,16794,3825.4,82,15577,7096.2
31,Leb,1,0,0,--,0,0,--,0,0,--
,Dur,0,0,0,--,1,0,--,0,0,--
