0,1,2,3,4,5,6,7,8,9,10,11
2021 Attendance,2021 Attendance,Home,Home,Home,Home,Road,Road,Road,Overall,Overall,Overall
RK,TEAM,GMS,TOTAL,AVG,PCT,GMS,AVG,PCT,GMS,AVG,PCT
1,Jazz,36,151300,4450,--,36,3104,--,72,4077,--
2,76ers,36,68583,3810,--,36,2693,--,72,3284,--
3,Suns,36,104027,3715,--,36,2951,--,72,3397,--
4,Mavericks,36,94849,3648,--,36,2316,--,72,3140,--
5,Nuggets,36,54554,3636,--,36,2481,234.4,72,3023,537.4
6,Magic,36,130712,3630,--,36,2954,--,72,3405,--
7,Bulls,36,13655,3413,--,36,2343,--,72,2538,--
8,Hornets,36,68255,3412,--,36,2475,--,72,2981,--
9,Rockets,36,117009,3250,--,36,3282,--,72,3259,--
10,Spurs,36,61053,3052,--,36,3170,--,72,3111,--
11,Warriors,36,33457,3041,--,36,2873,--,72,2939,--
12,Cavaliers,36,91476,2950,--,36,2616,--,72,2828,--
13,Wizards,36,21331,2666,--,36,2678,--,72,2675,--
14,Bucks,36,64780,2591,--,36,2644,--,72,2612,--
15,Pelicans,36,93120,2586,--,36,2793,--,72,2662,--
16,Raptors,36,26024,2365,--,36,2046,250.1,72,2152,394.7
17,Lakers,36,23313,2331,--,36,3015,284.8,72,2762,414.4
18,Celtics,36,30067,2312,--,36,2781,--,72,2607,--
19,Hawks,36,59288,2195,--,36,2786,--,72,2397,--
20,Grizzlies,36,61449,2194,--,36,2928,325.3,72,2500,666.7
21,Trail Blazers,36,7756,1939,--,36,3420,--,72,3138,--
22,NY Knicks,36,42131,1755,--,36,2803,327.1,72,2244,561.2
23,Clippers,36,13901,1737,9.7,36,2932,--,72,2590,50.4
24,Nets,36,30491,1524,--,36,3005,--,72,2182,--
25,Timberwolves,36,15774,1434,--,36,2307,96.1,72,1937,140.0
26,Pistons,36,14250,647,--,36,2946,--,72,1579,--
27,Pacers,36,0,0,--,36,3030,--,72,2840,--
,Heat,36,0,0,--,36,3272,--,72,3108,--
,Kings,36,0,0,--,36,3007,--,72,2660,--
,Thunder,36,0,0,--,36,2463,232.6,72,2203,232.6
,Leb,0,0,0,--,1,0,--,0,0,--
,Dur,1,0,0,--,0,0,--,0,0,--
