0,1,2,3,4,5,6,7,8,9,10,11
2018 Attendance,2018 Attendance,Home,Home,Home,Home,Road,Road,Road,Overall,Overall,Overall
RK,TEAM,GMS,TOTAL,AVG,PCT,GMS,AVG,PCT,GMS,AVG,PCT
1,Bulls,41,851824,20776,--,41,18030,4106.9,82,19403,8839.3
2,Cavaliers,41,843042,20562,--,41,19071,4238.1,82,19825,8921.6
3,76ers,41,833503,20329,--,41,18012,4002.7,82,19185,8633.3
4,Raptors,41,813431,19839,--,41,17673,4025.6,82,18756,8544.6
5,Mavericks,41,811453,19791,--,41,17374,1930.5,82,18597,4184.5
6,Heat,41,785250,19631,--,41,18177,4140.4,82,18895,8502.9
7,Warriors,41,803436,19596,--,41,18884,2150.7,82,19240,4382.5
8,Trail Blazers,41,795328,19398,--,41,17556,1999.5,82,18477,4208.8
9,NY Knicks,41,792608,19331,--,41,18179,4039.8,82,18762,8443.2
10,Lakers,41,776327,18934,--,41,18655,2072.8,82,18796,4229.3
11,Celtics,41,744960,18624,--,41,18588,4130.7,82,18606,8269.4
12,Spurs,41,754562,18403,--,41,18427,4197.4,82,18415,8389.4
13,Thunder,41,746323,18203,--,41,18866,4297.5,82,18534,8443.7
14,Wizards,41,718946,17973,--,41,17682,4027.6,82,17826,8021.8
15,Jazz,41,734806,17922,--,41,17495,1992.5,82,17708,4033.7
16,Rockets,41,716008,17900,--,41,18369,2092.0,82,18137,4081.0
17,Magic,41,715728,17893,--,41,17651,4020.6,82,17770,7996.8
18,Kings,41,649571,17555,--,41,17478,1990.6,82,17515,3795.0
19,Pistons,41,713945,17413,--,41,17959,4090.7,82,17686,8057.1
20,Nuggets,41,702796,17141,--,41,17871,2035.3,82,17506,3987.5
21,Timberwolves,41,699308,17056,--,41,17850,2033.0,82,17453,3975.5
22,Clippers,41,697812,17019,94.6,41,17735,--,82,17373,190.7
23,Suns,41,674655,16866,--,41,17610,2005.7,82,17243,3879.7
24,Bucks,41,685303,16714,--,41,18380,4186.7,82,17547,7994.0
25,Pelicans,41,673920,16437,--,41,17911,2039.9,82,17174,3911.9
26,Hornets,41,671404,16375,--,41,17623,4014.2,82,16999,7744.2
27,Pacers,41,658119,16051,--,41,17749,3944.2,82,16889,7600.5
28,Grizzlies,41,653863,15947,--,41,17348,1975.8,82,16648,3792.1
29,Nets,41,622278,15556,--,41,17687,3930.6,82,16622,7387.7
30,Hawks,41,590769,14409,--,41,17854,3868.5,82,16088,7150.6
31,Leb,0,0,0,--,1,0,--,0,0,--
,Ste,1,17801,0,--,0,0,--,0,0,--
,World,0,0,0,--,1,0,--,0,0,--
,Usa,1,17801,0,--,0,0,--,0,0,--
